ErtekelesID;UtazasNeve;UtasID;ErtekelesDatum;Programok;Helyszin;Szoveges
1;Római antik örökség túra;12;2024-09-22;5;5;Lenyűgöző volt a Colosseum, de a tömeg miatt a bejutás nehézkes.
2;Toszkána dombjai és borvidékei;25;2024-10-22;4;4;A borkóstolók kiválóak voltak, a táj pedig egyszerűen festői.
3;Velencei karnevál és maszkabál;8;2024-09-05;3;5;A város hangulata páratlan, bár a csatornák környékén nagy volt a zsúfoltság.
4;Milánói divathét és vásárlás;3;2024-10-18;2;3;Sajnos a legtöbb bemutató zártkörű volt, így inkább csak a boltokat jártuk.
5;Szicíliai vulkántúra és strandolás;19;2024-12-15;5;4;Az Etna megmászása életre szóló élmény, a tengerpart pedig kristálytiszta.
6;Párizsi fények és múzeumok;2;2024-03-18;3;5;A Louvre-ra egy nap nem elég, a sorban állás viszont kimerítő volt.
7;Barcelona és Gaudi művészete;3;2024-04-28;2;4;A Sagrada Família gyönyörű, de a szervezett programok kicsit sietősek voltak.
8;Londoni történelmi séták;4;2024-02-18;4;5;A British Museum ingyenessége szuper, a városnéző busz viszont sokat késett.
9;Bécsi adventi vásár;5;2024-06-13;3;5;A városháza előtti tér hangulata varázslatos, a puncs pedig isteni.
10;Prágai sörfőzdék és várnegyed;7;2024-07-18;4;4;A Károly-híd hajnalban a legszebb, a helyi sörök pedig tényleg világhírűek.
11;Amszterdami csatornák és virágok;8;2024-05-09;5;4;A tulipánmezők látványa felejthetetlen, a biciklis közlekedést viszont szokni kell.
12;Lisszaboni fado est és tengerpart;10;2024-11-18;3;3;A zene melankolikus és szép, de a városnéző villamosra esélytelen volt felszállni.
13;Athéni Akropolisz felfedezése;11;2024-08-10;2;5;A hőség ellenére a romok lenyűgözőek, de a környező utcák elég szemetesek.
14;Dubrovniki falak és Adria;13;2024-02-25;4;4;A várfalról a kilátás pazar, a Trónok harca rajongóknak kötelező program.
15;Izlandi északi fény keresés;15;2024-09-13;5;5;Szerencsénk volt, láttuk az aurórát! A természet ereje itt tényleg érezhető.
16;Skót felföld és Loch Ness;17;2024-12-06;3;4;A táj vadregényes, a kastélyok pedig mintha egy meséből léptek volna elő.
17;Norvég fjordok hajóút;19;2024-07-09;4;5;A hajóról nézve a vízesések monumentálisak, a levegő pedig haraphatóan friss.
18;Svájci Alpok trekking;21;2024-04-08;5;4;A túraútvonalak jól jelzettek, a hegyi levegő és a panoráma minden pénzt megér.
19;Bajor kastélyok túra;23;2024-04-15;4;3;Neuschwanstein pont olyan, mint a Disney logóban, de belülről kicsit csalódás.
20;Máltai lovagrend nyomában;25;2024-06-20;3;4;Valletta utcái történelmet árasztanak, a kikötői hajózás nagyon hangulatos volt.
21;Krétai minószi kultúra;27;2024-08-23;2;5;Knósszosz érdekes, de a tájékoztató táblák hiányosak voltak.
